Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R40","100k","R_0402_1005Metric",139.942500,-97.750000,90.000000,bottom
"R41","100k","R_0402_1005Metric",137.942500,-97.750000,-90.000000,bottom
"R42","1k","R_0402_1005Metric",159.580000,-147.250000,0.000000,bottom
"R43","10k","R_0402_1005Metric",141.874000,-113.374000,-90.000000,bottom
"R44","10k","R_0402_1005Metric",145.268000,-150.158000,90.000000,bottom
"R45","10k","R_0402_1005Metric",143.998000,-150.158000,90.000000,bottom
"R46","0R","R_0402_1005Metric",163.580000,-114.260000,-90.000000,bottom
"U1","TP4056-42-ESOP8","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias",181.735000,-109.975000,90.000000,bottom
"U2","ESP32-C6FH4","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias",140.260000,-117.940000,0.000000,bottom
"U3","ADUM3160","SOIC-16W_7.5x10.3mm_P1.27mm",161.580000,-107.000000,-90.000000,bottom
"U4","B0505S-2WR3","B0505S-2WR3",169.730000,-98.887500,-90.000000,bottom
"Y1","40MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",138.230000,-126.940000,0.000000,bottom
